t,o,h,l,c
1767816000,211.036,211.103,211.032,211.066
1767819600,211.068,211.087,210.95,210.958
1767823200,210.978,211.007,210.86,210.907
1767826800,210.903,210.955,210.83,210.896
1767830400,210.899,211.03,210.868,211.015
1767834000,211.014,211.162,210.935,211.138
1767837600,211.139,211.149,211.044,211.05
1767841200,211.049,211.056,210.873,210.998
1767844800,210.998,211.01,210.868,210.914
1767848400,210.916,210.918,210.786,210.853
1767852000,210.852,210.854,210.576,210.758
1767855600,210.753,210.816,210.386,210.388
1767859200,210.386,210.632,210.312,210.592
1767862800,210.593,210.654,210.534,210.64
1767866400,210.64,210.746,210.614,210.692
1767870000,210.685,210.832,210.68,210.756
1767873600,210.755,210.813,210.594,210.612
1767877200,210.612,210.71,210.516,210.702
1767880800,210.703,210.956,210.654,210.902
1767884400,210.896,211.05,210.794,210.842
1767888000,210.844,210.894,210.719,210.722
1767891600,210.72,210.731,210.57,210.692
1767895200,210.69,210.714,210.572,210.596
1767898800,210.597,210.83,210.553,210.82
1767902400,210.818,210.94,210.803,210.892
1767906000,210.894,210.954,210.825,210.86
1767909600,210.747,210.846,210.657,210.746
1767913200,210.741,210.856,210.741,210.767
1767916800,210.77,210.975,210.765,210.899
1767920400,210.9,211.054,210.882,211.036
1767924000,211.038,211.196,211.021,211.135
1767927600,211.136,211.282,211.116,211.276
1767931200,211.281,211.308,211.212,211.226
1767934800,211.226,211.384,211.226,211.362
1767938400,211.362,211.406,211.292,211.356
1767942000,211.358,211.511,211.253,211.486
1767945600,211.492,211.609,211.378,211.484
1767949200,211.486,211.548,211.406,211.495
1767952800,211.496,211.538,211.318,211.39
1767956400,211.389,211.422,211.296,211.362
1767960000,211.363,211.56,211.312,211.558
1767963600,211.557,211.74,211.36,211.6
1767967200,211.594,212.004,211.495,211.826
1767970800,211.828,212.038,211.724,211.828
1767974400,211.83,212.068,211.806,211.991
1767978000,211.992,211.992,211.738,211.84
1767981600,211.84,211.856,211.664,211.698
1767985200,211.7,211.716,211.636,211.674
1767988800,211.674,211.734,211.638,211.676
1767992400,211.675,211.726,211.594,211.666
1768168800,211.82,211.88,211.72,211.729
1768172400,211.733,211.873,211.618,211.808
1768176000,211.806,211.904,211.676,211.7
1768179600,211.7,211.868,211.652,211.817
1768183200,211.815,212.177,211.798,212.15
1768186800,212.144,212.252,212.082,212.207
1768190400,212.207,212.303,212.172,212.244
1768194000,212.241,212.374,212.192,212.264
1768197600,212.264,212.384,212.21,212.352
1768201200,212.342,212.396,212.096,212.214
1768204800,212.213,212.328,212.131,212.326
1768208400,212.328,212.482,212.276,212.428
1768212000,212.428,212.646,212.384,212.642
1768215600,212.643,212.684,212.435,212.52
1768219200,212.522,212.684,212.506,212.562
1768222800,212.562,212.798,212.539,212.798
1768226400,212.8,212.842,212.666,212.8
1768230000,212.803,212.894,212.688,212.877
1768233600,212.878,213.018,212.82,212.943
1768237200,212.94,213.004,212.753,212.854
1768240800,212.854,212.858,212.74,212.836
1768244400,212.834,212.966,212.811,212.947
1768248000,212.946,213.008,212.93,212.976
1768251600,212.976,213.016,212.94,212.96
1768255200,212.936,212.936,212.81,212.879
1768258800,212.884,212.991,212.678,212.736
1768262400,212.735,213.185,212.724,213.143
1768266000,213.145,213.498,213.138,213.484
1768269600,213.496,213.813,213.356,213.774
1768273200,213.774,213.946,213.757,213.928
1768276800,213.928,214.069,213.738,213.862
1768280400,213.862,213.987,213.838,213.92
1768284000,213.921,214.085,213.864,213.896
1768287600,213.894,214.073,213.852,214.053
1768291200,214.052,214.298,213.968,214.188
1768294800,214.192,214.293,214.126,214.202
1768298400,214.204,214.273,213.932,213.936
1768302000,213.938,214.11,213.904,214.024
1768305600,214.026,214.053,213.864,213.888
1768309200,213.887,214.112,213.708,214.098
1768312800,214.096,214.148,213.812,213.874
1768316400,213.882,213.974,213.54,213.63
1768320000,213.631,213.832,213.586,213.698
