t,o,h,l,c
1767103200,1.34878,1.34882,1.34714,1.34765
1767106800,1.34764,1.34784,1.34496,1.34737
1767110400,1.34736,1.34838,1.3463,1.34766
1767114000,1.34768,1.34788,1.34654,1.34698
1767117600,1.34697,1.34748,1.34653,1.34676
1767121200,1.34676,1.34728,1.34623,1.34655
1767124800,1.34658,1.34678,1.34612,1.34638
1767128400,1.34638,1.34692,1.34638,1.34687
1767132000,1.34686,1.34706,1.34646,1.3466
1767135600,1.34661,1.34678,1.34626,1.34664
1767139200,1.34664,1.34676,1.34586,1.34638
1767142800,1.34639,1.34668,1.34604,1.34614
1767146400,1.34613,1.34642,1.34592,1.34614
1767150000,1.34613,1.34658,1.34602,1.34641
1767153600,1.34639,1.34644,1.34574,1.34584
1767157200,1.34585,1.34635,1.34582,1.34608
1767160800,1.34609,1.34612,1.34529,1.34577
1767164400,1.34576,1.34604,1.34512,1.34563
1767168000,1.34565,1.34655,1.34268,1.34294
1767171600,1.34294,1.34448,1.34258,1.34377
1767175200,1.34382,1.34402,1.34328,1.34385
1767178800,1.34384,1.3457,1.34374,1.34555
1767182400,1.34556,1.3469,1.34472,1.34672
1767186000,1.34673,1.34766,1.34484,1.34544
1767189600,1.34544,1.34553,1.34323,1.3434
1767193200,1.3434,1.34538,1.34016,1.34506
1767196800,1.34508,1.34608,1.34374,1.34462
1767200400,1.34462,1.34558,1.34386,1.34522
1767204000,1.34521,1.34582,1.34469,1.34536
1767207600,1.34536,1.3461,1.34528,1.34598
1767211200,1.34598,1.3482,1.34598,1.34802
1767214800,1.34804,1.34838,1.34733,1.34738
1767304800,1.34688,1.34719,1.34632,1.34702
1767308400,1.34696,1.3477,1.34696,1.3474
1767312000,1.3474,1.34826,1.3472,1.34816
1767315600,1.34819,1.34881,1.34809,1.34878
1767319200,1.34878,1.34914,1.34866,1.34882
1767322800,1.34882,1.34902,1.34843,1.34868
1767326400,1.3487,1.34876,1.34778,1.34788
1767330000,1.34788,1.34808,1.34696,1.34712
1767333600,1.3471,1.34714,1.34636,1.34678
1767337200,1.34678,1.34708,1.34578,1.34644
1767340800,1.34642,1.34689,1.34492,1.3454
1767344400,1.34538,1.34644,1.34509,1.3455
1767348000,1.34551,1.34586,1.34442,1.34499
1767351600,1.34498,1.34526,1.34342,1.34409
1767355200,1.3441,1.34496,1.34362,1.34456
1767358800,1.34458,1.34598,1.34422,1.34576
1767362400,1.34576,1.34683,1.34534,1.34648
1767366000,1.34648,1.3502,1.34644,1.34971
1767369600,1.3497,1.34988,1.34733,1.34778
1767373200,1.34778,1.34781,1.34614,1.34628
1767376800,1.34628,1.34639,1.34464,1.34515
1767380400,1.34514,1.34581,1.34475,1.3455
1767384000,1.3455,1.34575,1.34495,1.34569
1767387600,1.34568,1.3467,1.34562,1.34602
1767564000,1.34545,1.34599,1.34496,1.34522
1767567600,1.34546,1.34567,1.34371,1.3438
1767571200,1.34378,1.34482,1.34374,1.34434
1767574800,1.34434,1.34488,1.34385,1.34402
1767578400,1.34402,1.34429,1.34257,1.34314
1767582000,1.34312,1.34364,1.3414,1.34158
1767585600,1.34158,1.34282,1.34143,1.34258
1767589200,1.34257,1.34319,1.34231,1.34283
1767592800,1.34282,1.34372,1.34209,1.34358
1767596400,1.34359,1.3437,1.34204,1.3423
1767600000,1.3423,1.34388,1.34176,1.34259
1767603600,1.34259,1.34436,1.34222,1.34429
1767607200,1.34428,1.34648,1.34407,1.34632
1767610800,1.34633,1.34712,1.34581,1.34596
1767614400,1.34594,1.34742,1.3453,1.3456
1767618000,1.3456,1.34574,1.3425,1.34528
1767621600,1.34529,1.34768,1.34508,1.34724
1767625200,1.34725,1.35042,1.34725,1.35028
1767628800,1.35029,1.35254,1.35028,1.35254
1767632400,1.35253,1.35396,1.35244,1.35328
1767636000,1.35328,1.35396,1.3529,1.35396
1767639600,1.35397,1.3546,1.35356,1.35432
1767643200,1.35432,1.35466,1.35421,1.35434
1767646800,1.35432,1.35484,1.354,1.35427
1767650400,1.35415,1.35436,1.35406,1.3541
1767654000,1.3541,1.35422,1.35318,1.35322
1767657600,1.35324,1.35358,1.35281,1.35358
1767661200,1.35358,1.35463,1.35316,1.35462
1767664800,1.35464,1.35578,1.35418,1.35566
1767668400,1.35563,1.35624,1.3551,1.3559
1767672000,1.3559,1.35618,1.35541,1.35558
1767675600,1.35558,1.35579,1.3546,1.35495
1767679200,1.35494,1.35579,1.35484,1.3555
1767682800,1.35551,1.3568,1.35472,1.35507
1767686400,1.35505,1.35668,1.35474,1.3554
1767690000,1.35539,1.35548,1.35357,1.35357
1767693600,1.35358,1.35399,1.35298,1.35328
