t,o,h,l,c
1767056400,1.17728,1.17751,1.17697,1.17751
1767060000,1.1775,1.17766,1.17716,1.17733
1767063600,1.17734,1.1776,1.17706,1.17726
1767067200,1.17727,1.17778,1.17718,1.17771
1767070800,1.17772,1.17791,1.1773,1.17752
1767074400,1.17752,1.17798,1.17739,1.17786
1767078000,1.17786,1.17786,1.17662,1.17703
1767081600,1.17704,1.17754,1.1766,1.17672
1767085200,1.17673,1.17779,1.17644,1.1769
1767088800,1.17688,1.17776,1.17688,1.17738
1767092400,1.17739,1.17768,1.17661,1.17668
1767096000,1.17667,1.17679,1.17607,1.17618
1767099600,1.17616,1.17679,1.17554,1.17633
1767103200,1.17634,1.17643,1.17564,1.17634
1767106800,1.17634,1.17663,1.17453,1.17598
1767110400,1.17598,1.17667,1.17544,1.17648
1767114000,1.1765,1.17668,1.17552,1.1756
1767117600,1.17561,1.17594,1.17482,1.17501
1767121200,1.17502,1.17529,1.17452,1.17468
1767124800,1.17468,1.17503,1.17434,1.1744
1767128400,1.17439,1.17488,1.17439,1.1748
1767132000,1.17466,1.1749,1.17458,1.17466
1767135600,1.17464,1.17492,1.17452,1.17456
1767139200,1.17457,1.17478,1.17444,1.17473
1767142800,1.17474,1.17491,1.17419,1.17426
1767146400,1.17424,1.17427,1.17388,1.17402
1767150000,1.174,1.17436,1.17396,1.17426
1767153600,1.17426,1.17428,1.1733,1.17345
1767157200,1.17345,1.17393,1.17344,1.17385
1767160800,1.17386,1.17398,1.17332,1.17374
1767164400,1.17373,1.17388,1.17298,1.17371
1767168000,1.17372,1.17398,1.172,1.17231
1767171600,1.17231,1.17389,1.172,1.17351
1767175200,1.1735,1.17438,1.17286,1.17392
1767178800,1.17394,1.17478,1.17364,1.17472
1767182400,1.17472,1.17594,1.17472,1.17554
1767186000,1.17553,1.17595,1.17416,1.1742
1767189600,1.1742,1.17426,1.17274,1.17302
1767193200,1.17302,1.17462,1.17202,1.17441
1767196800,1.17442,1.17488,1.17288,1.1735
1767200400,1.17349,1.1739,1.17315,1.1736
1767204000,1.1736,1.17388,1.17304,1.1736
1767207600,1.17362,1.17432,1.17362,1.17408
1767211200,1.17407,1.1753,1.17402,1.1752
1767214800,1.17522,1.1753,1.1745,1.17459
1767304800,1.17498,1.17505,1.17474,1.17488
1767308400,1.17487,1.1751,1.17458,1.1751
1767312000,1.1751,1.17564,1.17501,1.17564
1767315600,1.17564,1.17628,1.17564,1.1761
1767319200,1.1761,1.17638,1.17583,1.17594
1767322800,1.17594,1.1765,1.17592,1.17644
1767326400,1.17644,1.17648,1.17551,1.17556
1767330000,1.17556,1.17579,1.17508,1.17513
1767333600,1.17512,1.17516,1.17416,1.17438
1767337200,1.17437,1.17472,1.17322,1.17348
1767340800,1.17347,1.17384,1.17238,1.17286
1767344400,1.17286,1.17375,1.17206,1.17214
1767348000,1.17214,1.17236,1.17132,1.17211
1767351600,1.17211,1.17226,1.17152,1.1722
1767355200,1.17219,1.17272,1.17207,1.17237
1767358800,1.17238,1.1729,1.17182,1.17215
1767362400,1.17217,1.17308,1.17158,1.17286
1767366000,1.17284,1.17522,1.17283,1.17507
1767369600,1.17508,1.17545,1.17341,1.17375
1767373200,1.17374,1.17376,1.17286,1.17308
1767376800,1.17308,1.17314,1.17154,1.17192
1767380400,1.17191,1.17244,1.17144,1.17232
1767384000,1.17233,1.17238,1.17153,1.17178
1767387600,1.17176,1.17234,1.17174,1.17196
1767564000,1.17239,1.17239,1.17104,1.17116
1767567600,1.17118,1.1713,1.17004,1.17052
1767571200,1.17053,1.17111,1.17036,1.17051
1767574800,1.1705,1.17074,1.16996,1.17004
1767578400,1.17004,1.17016,1.1684,1.16888
1767582000,1.16888,1.16909,1.16722,1.16754
1767585600,1.16752,1.16831,1.16734,1.1682
1767589200,1.16819,1.1686,1.16805,1.16855
1767592800,1.16856,1.1692,1.16784,1.16912
1767596400,1.16913,1.16922,1.16836,1.16862
1767600000,1.1686,1.1695,1.1681,1.16834
1767603600,1.16834,1.16875,1.16739,1.16825
1767607200,1.16823,1.16902,1.16798,1.169
1767610800,1.169,1.1691,1.16803,1.16814
